Census,Election_Date,Month,Year,Ward,Polling_Place,Registered_Voters,11_AM_Turnout_Total,11_AM_Absentees_Processed,11_AM_Provisionals,11_AM_Turnout_Percentage,11_AM_Turnout_Projection,4_PM_Turnout_Total,4_PM_Absentees_Processed,4_PM_Provisionals,4_PM_Turnout_Percentage,4_PM_Turnout_Projection,8_PM_Turnout,8_PM_Provisionals,Final_Turnout_Percentage,OBJECTID
2000,4/6/2009,April,2009,72,Van Hise,1729,243,,NA,0.140000,NA,507,,NA,0.290000,NA,768,NA,0.440000,544
2000,4/6/2009,April,2009,73,Hill Farm,2189,207,,NA,0.090000,NA,407,,NA,0.190000,NA,442,NA,0.200000,545
2000,4/6/2009,April,2009,74,Spring Harbor,2332,260,,NA,0.110000,NA,495,,NA,0.210000,NA,561,NA,0.240000,546
2000,4/6/2009,April,2009,75,Crestwood,2756,373,,NA,0.140000,NA,779,,NA,0.280000,NA,1074,NA,0.390000,547
2000,4/6/2009,April,2009,76,Stephens,1298,185,,NA,0.140000,NA,379,,NA,0.290000,NA,509,NA,0.390000,548
2000,4/6/2009,April,2009,77,Stephens,931,135,,NA,0.150000,NA,314,,NA,0.340000,NA,385,NA,0.410000,549
2000,4/6/2009,April,2009,78,Muir,1724,170,,NA,0.100000,NA,421,,NA,0.240000,NA,624,NA,0.360000,550
2000,4/6/2009,April,2009,79,Lussier,1138,132,,NA,0.120000,NA,269,,NA,0.240000,NA,377,NA,0.330000,551
2000,4/6/2009,April,2009,80,Lussier,1023,23,,NA,0.020000,NA,63,,NA,0.060000,NA,98,NA,0.100000,552
2000,4/6/2009,April,2009,81,High Point,2134,215,,NA,0.100000,NA,501,,NA,0.230000,NA,619,NA,0.290000,553
2000,4/6/2009,April,2009,83,High Point,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,554
2000,4/6/2009,April,2009,100,High Point,1,0,,NA,0,NA,0,,NA,0,NA,0,NA,0,555
2000,4/6/2009,April,2009,104,High Point,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,556
2000,4/6/2009,April,2009,105,High Point,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,557
2000,4/6/2009,April,2009,109,High Point,54,2,,NA,0.040000,NA,3,,NA,0.060000,NA,5,NA,0.090000,558
2000,4/6/2009,April,2009,112,High Point,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,559
2000,4/6/2009,April,2009,113,High Point,11,2,,NA,0.180000,NA,7,,NA,0.640000,NA,7,NA,0.640000,560
2000,4/6/2009,April,2009,145,High Point,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,561
2000,4/6/2009,April,2009,82,Alicia Ashman,2310,275,,NA,0.120000,NA,483,,NA,0.210000,NA,763,NA,0.330000,562
2000,4/6/2009,April,2009,101,Alicia Ashman,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,563
2000,4/6/2009,April,2009,127,Alicia Ashman,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,564
2000,4/6/2009,April,2009,132,Alicia Ashman,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,565
2000,4/6/2009,April,2009,141,Alicia Ashman,6,0,,NA,0,NA,0,,NA,0,NA,0,NA,0,566
2000,4/6/2009,April,2009,83,The Jefferson,3627,319,,NA,0.090000,NA,678,,NA,0.190000,NA,1120,NA,0.310000,567
2000,4/6/2009,April,2009,110,The Jefferson,223,30,,NA,0.130000,NA,63,,NA,0.280000,NA,58,NA,0.260000,568
2000,4/6/2009,April,2009,112,The Jefferson,56,5,,NA,0.090000,NA,9,,NA,0.160000,NA,12,NA,0.210000,569
2000,4/6/2009,April,2009,119,The Jefferson,5,0,,NA,0,NA,0,,NA,0,NA,0,NA,0,570
2000,4/6/2009,April,2009,120,The Jefferson,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,571
2000,4/6/2009,April,2009,129,The Jefferson,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,572
2000,4/6/2009,April,2009,84,Odana Hills,1291,204,,NA,0.160000,NA,454,,NA,0.350000,NA,600,NA,0.460000,573
2000,4/6/2009,April,2009,85,MG&E Innovation,1622,227,,NA,0.140000,NA,452,,NA,0.280000,NA,670,NA,0.410000,574
2000,4/6/2009,April,2009,86,Toki,2195,270,,NA,0.120000,NA,575,,NA,0.260000,NA,828,NA,0.380000,575
2000,4/6/2009,April,2009,87,Good Shepherd,2040,292,,NA,0.140000,NA,506,,NA,0.250000,NA,715,NA,0.350000,576
2000,4/6/2009,April,2009,88,Good Shepherd,702,47,,NA,0.070000,NA,88,,NA,0.130000,NA,136,NA,0.190000,577
2000,4/6/2009,April,2009,89,Huegel,839,76,,NA,0.090000,NA,153,,NA,0.180000,NA,281,NA,0.330000,578
2000,4/6/2009,April,2009,90,Heritage,1378,65,,NA,0.050000,NA,141,,NA,0.100000,NA,273,NA,0.200000,579
2000,4/6/2009,April,2009,103,Heritage,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,580
2000,4/6/2009,April,2009,91,Capitoland,2229,149,,NA,0.070000,NA,230,,NA,0.100000,NA,426,NA,0.190000,581
2000,4/6/2009,April,2009,92,Chavez,2872,168,,NA,0.060000,NA,328,,NA,0.110000,NA,638,NA,0.220000,582
2000,4/6/2009,April,2009,135,Chavez,20,1,,NA,0.050000,NA,3,,NA,0.150000,NA,3,NA,0.150000,583
2000,4/6/2009,April,2009,93,McKee,2792,160,,NA,0.060000,NA,325,,NA,0.120000,NA,500,NA,0.180000,584
2000,4/6/2009,April,2009,93,Heritage,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,585
2000,4/6/2009,April,2009,102,McKee,354,27,,NA,0.080000,NA,54,,NA,0.150000,NA,86,NA,0.240000,586
2000,4/6/2009,April,2009,94,MPD West,1007,73,,NA,0.070000,NA,160,,NA,0.160000,NA,244,NA,0.240000,587
2000,4/6/2009,April,2009,121,MPD West,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,588
2000,4/6/2009,April,2009,122,MPD West,36,0,,NA,0,NA,1,,NA,0.030000,NA,2,NA,0.060000,589
2000,4/6/2009,April,2009,123,MPD West,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,590
2000,4/6/2009,April,2009,124,MPD West,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,591
2000,4/6/2009,April,2009,95,Falk,841,49,,NA,0.060000,NA,129,,NA,0.150000,NA,186,NA,0.220000,592
2000,4/6/2009,April,2009,96,Falk,2117,205,,NA,0.100000,NA,461,,NA,0.220000,NA,673,NA,0.320000,593
2000,4/6/2009,April,2009,126,Falk,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,594
2000,4/6/2009,April,2009,137,Falk,23,2,,NA,0.090000,NA,2,,NA,0.090000,NA,6,NA,0.260000,595
2000,4/6/2009,April,2009,97,Ice Arena,514,53,,NA,0.100000,NA,135,,NA,0.260000,NA,164,NA,0.320000,596
2000,4/6/2009,April,2009,98,Ice Arena,2843,112,,NA,0.040000,NA,279,,NA,0.100000,NA,408,NA,0.140000,597
2000,4/6/2009,April,2009,128,Ice Arena,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,598
2000,4/6/2009,April,2009,130,Ice Arena,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,599
2000,4/6/2009,April,2009,134,Ice Arena,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,600
2000,4/6/2009,April,2009,99,Our Redeemer,4574,301,,NA,0.070000,NA,539,,NA,0.120000,NA,856,NA,0.190000,601
2000,4/6/2009,April,2009,99,Elver Park,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,602
2000,4/6/2009,April,2009,107,Our Redeemer,118,0,,NA,0,NA,8,,NA,0.070000,NA,10,NA,0.080000,603
2000,4/6/2009,April,2009,114,Elver Park,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,604
2000,4/6/2009,April,2009,114,Our Redeemer,66,0,,NA,0,NA,4,,NA,0.060000,NA,12,NA,0.180000,605
2000,4/6/2009,April,2009,125,Our Redeemer,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,606
2000,4/6/2009,April,2009,142,Our Redeemer,6,0,,NA,0,NA,0,,NA,0,NA,2,NA,0.330000,607
2000,2/16/2010,February,2010,1,Glendale,2632,35,,NA,0.010000,NA,91,,NA,0.030000,NA,126,NA,0.050000,608
2000,2/16/2010,February,2010,2,Lake City,2426,33,,NA,0.010000,NA,81,,NA,0.030000,NA,128,NA,0.050000,609
2000,2/16/2010,February,2010,3,Elvehjem,1308,15,,NA,0.010000,NA,53,,NA,0.040000,NA,89,NA,0.070000,610
2000,2/16/2010,February,2010,4,Elvehjem,1481,18,,NA,0.010000,NA,56,,NA,0.040000,NA,963,NA,0.650000,611
2000,2/16/2010,February,2010,131,Elvehjem,1,0,,NA,0,NA,0,,NA,0,NA,0,NA,0,612
2000,2/16/2010,February,2010,5,Door Creek Church,2700,43,,NA,0.020000,NA,88,,NA,0.030000,NA,127,NA,0.050000,613
2000,2/16/2010,February,2010,5,Kennedy,0,,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,614
2000,2/16/2010,February,2010,6,Kennedy,1533,24,,NA,0.020000,NA,67,,NA,0.040000,NA,102,NA,0.070000,615
2000,2/16/2010,February,2010,111,Kennedy,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,616
2000,2/16/2010,February,2010,115,Kenndy,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,617
2000,2/16/2010,February,2010,139,Kennedy,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,618
2000,2/16/2010,February,2010,7,New Beginnings,1786,42,,NA,0.020000,NA,90,,NA,0.050000,NA,126,NA,0.070000,619
2000,2/16/2010,February,2010,136,New Beginnings,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,620
2000,2/16/2010,February,2010,8,American Family,1658,35,,NA,0.020000,NA,59,,NA,0.040000,NA,79,NA,0.050000,621
2000,2/16/2010,February,2010,9,American Family,834,15,,NA,0.020000,NA,23,,NA,0.030000,NA,24,NA,0.030000,622
2000,2/16/2010,February,2010,10,LaFollette,1561,19,,NA,0.010000,NA,61,,NA,0.040000,NA,93,NA,0.060000,623
2000,2/16/2010,February,2010,11,Whitehorse,2365,28,,NA,0.010000,NA,96,,NA,0.040000,NA,126,NA,0.050000,624
2000,2/16/2010,February,2010,12,Hawthorne,1107,6,,NA,0.010000,NA,23,,NA,0.020000,NA,45,NA,0.040000,625
2000,2/16/2010,February,2010,13,Hawthorne,529,9,,NA,0.020000,NA,12,,NA,0.020000,NA,19,NA,0.040000,626
2000,2/16/2010,February,2010,14,MATC Commercial,1288,16,,NA,0.010000,NA,41,,NA,0.030000,NA,63,NA,0.050000,627
2000,2/16/2010,February,2010,15,Ntnl Guard,722,15,,NA,0.020000,NA,21,,NA,0.030000,NA,30,NA,0.040000,628
2000,2/16/2010,February,2010,21,Ntnl Guard,388,1,,NA,0,NA,7,,NA,0.020000,NA,10,NA,0.030000,629
2000,2/16/2010,February,2010,133,Ntnl Guard,2,0,,NA,0,NA,0,,NA,0,NA,0,NA,0,630
2000,2/16/2010,February,2010,16,HyVee,635,11,,NA,0.020000,NA,25,,NA,0.040000,NA,33,NA,0.050000,631
2000,2/16/2010,February,2010,16,#8 Fire Stn,,,,NA,#DIV/0!,NA,,,NA,#DIV/0!,NA,0,NA,#DIV/0!,632
2000,2/16/2010,February,2010,17,HyVee,1562,11,,NA,0.010000,NA,24,,NA,0.020000,NA,57,NA,0.040000,633
2000,2/16/2010,February,2010,17,#8 Fire Stn,,,,NA,#DIV/0!,NA,,,NA,#DIV/0!,NA,0,NA,#DIV/0!,634
2000,2/16/2010,February,2010,18,#8 Fire Stn,,,,NA,#DIV/0!,NA,,,NA,#DIV/0!,NA,0,NA,#DIV/0!,635
2000,2/16/2010,February,2010,118,HyVee,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,636
2000,2/16/2010,February,2010,18,Oakwood,1204,45,,NA,0.040000,NA,92,,NA,0.080000,NA,108,NA,0.090000,637
2000,2/16/2010,February,2010,19,Sandburg,1970,15,,NA,0.010000,NA,41,,NA,0.020000,NA,64,NA,0.030000,638
2000,2/16/2010,February,2010,20,Sandburg,528,3,,NA,0.010000,NA,7,,NA,0.010000,NA,13,NA,0.020000,639
2000,2/16/2010,February,2010,108,Sandburg,143,0,,NA,0,NA,1,,NA,0.010000,NA,4,NA,0.030000,640
2000,2/16/2010,February,2010,138,Sandburg,2,0,,NA,0,NA,0,,NA,0,NA,0,NA,0,641
2000,2/16/2010,February,2010,22,Mendota,1169,21,,NA,0.020000,NA,51,,NA,0.040000,NA,75,NA,0.060000,642
2000,2/16/2010,February,2010,23,Mendota,889,6,,NA,0.010000,NA,17,,NA,0.020000,NA,35,NA,0.040000,643
2000,2/16/2010,February,2010,24,Lindbergh,1438,25,,NA,0.020000,NA,54,,NA,0.040000,NA,74,NA,0.050000,644
2000,2/16/2010,February,2010,25,Black Hawk,2901,53,,NA,0.020000,NA,172,,NA,0.060000,NA,245,NA,0.080000,645
2000,2/16/2010,February,2010,143,Black Hawk,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,646
2000,2/16/2010,February,2010,144,Black Hawk,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,647
2000,2/16/2010,February,2010,146,Black Hawk,0,0,,NA,#DIV/0!,NA,,,NA,#DIV/0!,NA,0,NA,#DIV/0!,648
2000,2/16/2010,February,2010,26,Warner Park,297,6,,NA,0.020000,NA,8,,NA,0.030000,NA,35,NA,0.120000,649
2000,2/16/2010,February,2010,27,Warner Park,1673,37,,NA,0.020000,NA,62,,NA,0.040000,NA,50,NA,0.030000,650
2000,2/16/2010,February,2010,28,Warner Park,274,4,,NA,0.010000,NA,9,,NA,0.030000,NA,21,NA,0.080000,651
2000,2/16/2010,February,2010,29,Warner Park,332,10,,NA,0.030000,NA,19,,NA,0.060000,NA,48,NA,0.140000,652
2000,2/16/2010,February,2010,30,St Paul,1153,39,,NA,0.030000,NA,76,,NA,0.070000,NA,105,NA,0.090000,653
2000,2/16/2010,February,2010,31,Sherman,1070,18,,NA,0.020000,NA,39,,NA,0.040000,NA,50,NA,0.050000,654
2000,2/16/2010,February,2010,32,East High,2004,17,,NA,0.010000,NA,49,,NA,0.020000,NA,89,NA,0.040000,655
2000,2/16/2010,February,2010,33,Olbrich,2832,55,,NA,0.020000,NA,98,,NA,0.030000,NA,160,NA,0.060000,656
2000,2/16/2010,February,2010,34,O'Keeffe,3206,44,,NA,0.010000,NA,110,,NA,0.030000,NA,183,NA,0.060000,657
2000,2/16/2010,February,2010,35,Wil-Mar,2159,23,,NA,0.010000,NA,45,,NA,0.020000,NA,81,NA,0.040000,658
2000,2/16/2010,February,2010,36,MMB,667,10,,NA,0.010000,NA,16,,NA,0.020000,NA,27,NA,0.040000,659
2000,2/16/2010,February,2010,37,Tenney,1795,14,,NA,0.010000,NA,43,,NA,0.020000,NA,86,NA,0.050000,660
2000,2/16/2010,February,2010,38,Lapham,1618,9,,NA,0.010000,NA,16,,NA,0.010000,NA,55,NA,0.030000,661
2000,2/16/2010,February,2010,39,Gates of Heaven,2830,8,,NA,0,NA,28,,NA,0.010000,NA,47,NA,0.020000,662
2000,2/16/2010,February,2010,40,Lowell Center,2168,5,,NA,0,NA,11,,NA,0.010000,NA,16,NA,0.010000,663
2000,2/16/2010,February,2010,41,MATC  ,1881,4,,NA,0,NA,9,,NA,0,NA,15,NA,0.010000,664
2000,2/16/2010,February,2010,42,#1 Fire Stn,3444,0,,NA,0,NA,2,,NA,0,NA,8,NA,0,665
2000,2/16/2010,February,2010,43,Madison Library,2242,42,,NA,0.020000,NA,164,,NA,0.070000,NA,201,NA,0.090000,666
2000,2/16/2010,February,2010,44,Doyle,4579,15,,NA,0,NA,43,,NA,0.010000,NA,61,NA,0.010000,667
2000,2/16/2010,February,2010,45,Gordon Commons,2867,1,,NA,0,NA,2,,NA,0,NA,5,NA,0,668
2000,2/16/2010,February,2010,46,Memorial Library,2887,3,,NA,0,NA,4,,NA,0,NA,7,NA,0,669
2000,2/16/2010,February,2010,47,Memorial Union,1717,0,,NA,0,NA,1,,NA,0,NA,4,NA,0,670
2000,2/16/2010,February,2010,48,Porchlight,2416,2,,NA,0,NA,6,,NA,0,NA,10,NA,0,671
2000,2/16/2010,February,2010,49,Brittingham,1102,15,,NA,0.010000,NA,37,,NA,0.030000,NA,54,NA,0.050000,672
2000,2/16/2010,February,2010,50,St James,3012,43,,NA,0.010000,NA,48,,NA,0.020000,NA,120,NA,0.040000,673
2000,2/16/2010,February,2010,51,Trinity UMC,1255,19,,NA,0.020000,NA,32,,NA,0.030000,NA,44,NA,0.040000,674
2000,2/16/2010,February,2010,52,Bjarne Romnes,1943,42,,NA,0.020000,NA,77,,NA,0.040000,NA,121,NA,0.060000,675
2000,2/16/2010,February,2010,53,Boys & Girls,678,4,,NA,0.010000,NA,9,,NA,0.010000,NA,21,NA,0.030000,676
2000,2/16/2010,February,2010,106,Boys & Girls,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,677
2000,2/16/2010,February,2010,140,Boys & Girls,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,678
2000,2/16/2010,February,2010,54,Bridge-Lake,1171,11,,NA,0.010000,NA,36,,NA,0.030000,NA,53,NA,0.050000,679
2000,2/16/2010,February,2010,55,MPD South,111,0,,NA,0,NA,3,,NA,0.030000,NA,3,NA,0.030000,680
2000,2/16/2010,February,2010,56,MPD South,1442,17,,NA,0.010000,NA,34,,NA,0.020000,NA,46,NA,0.030000,681
2000,2/16/2010,February,2010,56,Nghbrhd Interv,,,,NA,#DIV/0!,NA,,,NA,#DIV/0!,NA,0,NA,#DIV/0!,682
2000,2/16/2010,February,2010,57,#6 Fire Stn,678,6,,NA,0.010000,NA,14,,NA,0.020000,NA,20,NA,0.030000,683
2000,2/16/2010,February,2010,117,#6 Fire Stn,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,684
2000,2/16/2010,February,2010,58,Leopold,507,9,,NA,0.020000,NA,12,,NA,0.020000,NA,15,NA,0.030000,685
2000,2/16/2010,February,2010,59,Leopold,1358,18,,NA,0.010000,NA,47,,NA,0.030000,NA,81,NA,0.060000,686
2000,2/16/2010,February,2010,60,1st Congregatnl,682,0,,NA,0,NA,0,,NA,0,NA,0,NA,0,687
2000,2/16/2010,February,2010,61,1st Congregatnl,2817,34,,NA,0.010000,NA,71,,NA,0.030000,NA,105,NA,0.040000,688
2000,2/16/2010,February,2010,62,Holt Commons,1344,0,,NA,0,NA,2,,NA,0,NA,6,NA,0,689
2000,2/16/2010,February,2010,63,Eagle Hts,771,7,,NA,0.010000,NA,10,,NA,0.010000,NA,18,NA,0.020000,690
2000,2/16/2010,February,2010,64,West High,2081,14,,NA,0.010000,NA,42,,NA,0.020000,NA,85,NA,0.040000,691
2000,2/16/2010,February,2010,65,Blessed Sacrament,1639,62,,NA,0.040000,NA,108,,NA,0.070000,NA,190,NA,0.120000,692
2000,2/16/2010,February,2010,66,Dudgeon,1929,30,,NA,0.020000,NA,88,,NA,0.050000,NA,152,NA,0.080000,693
2000,2/16/2010,February,2010,116,Dudgeon,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,694
2000,2/16/2010,February,2010,67,Thoreau,2556,40,,NA,0.020000,NA,114,,NA,0.040000,NA,191,NA,0.070000,695
2000,2/16/2010,February,2010,68,Head Start,924,9,,NA,0.010000,NA,22,,NA,0.020000,NA,38,NA,0.040000,696
2000,2/16/2010,February,2010,69,Midvale,1633,34,,NA,0.020000,NA,95,,NA,0.060000,NA,134,NA,0.080000,697
2000,2/16/2010,February,2010,70,Hoyt,1918,39,,NA,0.020000,NA,89,,NA,0.050000,NA,141,NA,0.070000,698
2000,2/16/2010,February,2010,71,Hoyt,1091,32,,NA,0.030000,NA,47,,NA,0.040000,NA,72,NA,0.070000,699
2000,2/16/2010,February,2010,72,Van Hise,1591,44,,NA,0.030000,NA,106,,NA,0.070000,NA,183,NA,0.120000,700
2000,2/16/2010,February,2010,73,Hill Farm,1846,62,,NA,0.030000,NA,145,,NA,0.080000,NA,171,NA,0.090000,701
2000,2/16/2010,February,2010,74,Spring Harbor,2028,36,,NA,0.020000,NA,69,,NA,0.030000,NA,135,NA,0.070000,702
2000,2/16/2010,February,2010,75,Crestwood,2478,66,,NA,0.030000,NA,143,,NA,0.060000,NA,209,NA,0.080000,703
2000,2/16/2010,February,2010,76,Stephens,1149,40,,NA,0.030000,NA,72,,NA,0.060000,NA,121,NA,0.110000,704
2000,2/16/2010,February,2010,77,Stephens,764,46,,NA,0.060000,NA,174,,NA,0.230000,NA,184,NA,0.240000,705
2000,2/16/2010,February,2010,78,Muir,1586,90,,NA,0.060000,NA,172,,NA,0.110000,NA,274,NA,0.170000,706
2000,2/16/2010,February,2010,79,Lussier,992,11,,NA,0.010000,NA,46,,NA,0.050000,NA,76,NA,0.080000,707
2000,2/16/2010,February,2010,80,Lussier,770,2,,NA,0,NA,13,,NA,0.020000,NA,18,NA,0.020000,708
2000,2/16/2010,February,2010,81,High Point,1876,33,,NA,0.020000,NA,81,,NA,0.040000,NA,139,NA,0.070000,709
2000,2/16/2010,February,2010,83,High Point,,,,NA,#DIV/0!,NA,,,NA,#DIV/0!,NA,0,NA,#DIV/0!,710
2000,2/16/2010,February,2010,100,High Point,1,0,,NA,0,NA,0,,NA,0,NA,0,NA,0,711
2000,2/16/2010,February,2010,104,High Point,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,712
2000,2/16/2010,February,2010,105,High Point,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,713
2000,2/16/2010,February,2010,109,High Point,55,0,,NA,0,NA,0,,NA,0,NA,0,NA,0,714
2000,2/16/2010,February,2010,112,High Point,,,,NA,#DIV/0!,NA,,,NA,#DIV/0!,NA,0,NA,#DIV/0!,715
2000,2/16/2010,February,2010,113,High Point,10,0,,NA,0,NA,1,,NA,0.100000,NA,1,NA,0.100000,716
2000,2/16/2010,February,2010,145,High Point,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,717
2000,2/16/2010,February,2010,82,Alicia Ashman,2037,70,,NA,0.030000,NA,132,,NA,0.060000,NA,193,NA,0.090000,718
2000,2/16/2010,February,2010,101,Alicia Ashman,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,719
2000,2/16/2010,February,2010,127,Alicia Ashman,2,0,,NA,0,NA,0,,NA,0,NA,0,NA,0,720
2000,2/16/2010,February,2010,132,Alicia Ashman,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,721
2000,2/16/2010,February,2010,141,Alicia Ashman,6,0,,NA,0,NA,0,,NA,0,NA,0,NA,0,722
2000,2/16/2010,February,2010,83,The Jefferson,3148,86,,NA,0.030000,NA,219,,NA,0.070000,NA,248,NA,0.080000,723
2000,2/16/2010,February,2010,110,The Jefferson,214,0,,NA,0,NA,4,,NA,0.020000,NA,6,NA,0.030000,724
2000,2/16/2010,February,2010,112,The Jefferson,55,1,,NA,0.020000,NA,2,,NA,0.040000,NA,2,NA,0.040000,725
2000,2/16/2010,February,2010,119,The Jefferson,5,0,,NA,0,NA,0,,NA,0,NA,0,NA,0,726
2000,2/16/2010,February,2010,120,The Jefferson,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,727
2000,2/16/2010,February,2010,129,The Jefferson,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,728
2000,2/16/2010,February,2010,84,Odana Hills,1198,33,,NA,0.030000,NA,79,,NA,0.070000,NA,130,NA,0.110000,729
2000,2/16/2010,February,2010,85,MG&E Innovation,1475,35,,NA,0.020000,NA,71,,NA,0.050000,NA,122,NA,0.080000,730
2000,2/16/2010,February,2010,86,Toki,2099,58,,NA,0.030000,NA,120,,NA,0.060000,NA,168,NA,0.080000,731
2000,2/16/2010,February,2010,87,Good Shepherd,1786,56,,NA,0.030000,NA,105,,NA,0.060000,NA,140,NA,0.080000,732
2000,2/16/2010,February,2010,88,Good Shepherd,573,6,,NA,0.010000,NA,12,,NA,0.020000,NA,24,NA,0.040000,733
2000,2/16/2010,February,2010,89,Huegel,764,11,,NA,0.010000,NA,21,,NA,0.030000,NA,46,NA,0.060000,734
2000,2/16/2010,February,2010,90,Heritage,1170,6,,NA,0.010000,NA,25,,NA,0.020000,NA,42,NA,0.040000,735
2000,2/16/2010,February,2010,103,Heritage,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,736
2000,2/16/2010,February,2010,91,St. Mary's,1816,5,,NA,0,NA,28,,NA,0.020000,NA,61,NA,0.030000,737
2000,2/16/2010,February,2010,91,Capitoland,,,,NA,#DIV/0!,NA,,,NA,#DIV/0!,NA,0,NA,#DIV/0!,738
2000,2/16/2010,February,2010,92,Chavez,2565,26,,NA,0.010000,NA,46,,NA,0.020000,NA,79,NA,0.030000,739
2000,2/16/2010,February,2010,135,Chavez,20,0,,NA,0,NA,0,,NA,0,NA,0,NA,0,740
2000,2/16/2010,February,2010,93,McKee,2358,13,,NA,0.010000,NA,27,,NA,0.010000,NA,44,NA,0.020000,741
2000,2/16/2010,February,2010,93,Heritage,,,,NA,#DIV/0!,NA,,,NA,#DIV/0!,NA,0,NA,#DIV/0!,742
2000,2/16/2010,February,2010,102,McKee,351,2,,NA,0.010000,NA,4,,NA,0.010000,NA,6,NA,0.020000,743
2000,2/16/2010,February,2010,94,MPD West,857,13,,NA,0.020000,NA,23,,NA,0.030000,NA,38,NA,0.040000,744
2000,2/16/2010,February,2010,121,MPD West,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,745
2000,2/16/2010,February,2010,122,MPD West,37,0,,NA,0,NA,0,,NA,0,NA,0,NA,0,746
2000,2/16/2010,February,2010,123,MPD West,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,747
2000,2/16/2010,February,2010,124,MPD West,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,748
2000,2/16/2010,February,2010,95,Falk,806,7,,NA,0.010000,NA,21,,NA,0.030000,NA,62,NA,0.080000,749
